Model,Domain,Task,Mean,Std_Dev,Count,Std_Error,Margin_of_Error,CI Lower,CI Upper
mgpt,geo,xnli,41.1033333333333,0.0850490054811517,3,0.0491030662088529,0.211273441870535,40.8920598914628,41.3146067752039
mgpt,geo,xstorycloze,56.4266666666667,0.0550757054728617,3,0.0317979733805652,0.136815636971535,56.2898510296951,56.5634823036382
mgpt,geo,xwinograd,60.8833333333333,0.242143208315522,3,0.139801446503406,0.601517075443426,60.2818162578899,61.4848504087768
mgpt,learned,SET AVG,52.3486666666667,0.0646322932699529,3,0.0373154719177502,0.160555517114835,52.1881111495518,52.5092221837815
mgpt,learned,pawsx,48.5766666666667,0.136137185711083,3,0.0785988408170121,0.338183517009179,48.2384831496575,48.9148501836759
mgpt,learned,xcopa,56.1866666666667,0.144337567297403,3,0.0833333333333315,0.358554394159265,55.8281122725074,56.5452210608259
mgpt,learned,xnli,40.2566666666667,0.102632028788934,3,0.0592546294487682,0.254952093157623,40.001714573509,40.5116187598243
mgpt,learned,xstorycloze,56.17,0.0721110255092758,3,0.0416333199893203,0.179133717907319,55.9908662820927,56.3491337179073
mgpt,learned,xwinograd,60.5533333333333,0.0986576572463216,3,0.0569600249687816,0.245079206927743,60.3082541264056,60.7984125402611
mgpt,random,SET AVG,52.376,0.100419121685064,3,0.0579770069366574,0.249454927168094,52.1265450728319,52.6254549271681
mgpt,random,pawsx,48.29,0.316069612585581,3,0.182482875908946,0.785160444191687,47.5048395558083,49.0751604441917
mgpt,random,xcopa,55.79,0.0556776436283025,3,0.0321455025366445,0.138310934243663,55.6516890657563,55.9283109342437
mgpt,random,xnli,40.86,0.147309198626561,3,0.0850490054811532,0.365936335609723,40.4940636643903,41.2259363356097
mgpt,random,xstorycloze,56.2366666666667,0.0321455025366391,3,0.0185592145427644,0.0798538551174342,56.1568128115492,56.3165205217841
mgpt,random,xwinograd,60.7033333333333,0.1616580753731,3,0.093333333333336,0.401580921458397,60.3017524118749,61.1049142547917
mgpt,resource,SET AVG,52.5525,0.0454716028601025,4,0.0227358014300513,0.0723554672587433,52.4801445327413,52.6248554672588
mgpt,resource,pawsx,48.9825,0.339055059442172,4,0.169527529721086,0.539512260604839,48.4429877393952,49.5220122606048
mgpt,resource,xcopa,56.2475,0.0838152730712023,4,0.0419076365356011,0.13336880305592,56.1141311969441,56.3808688030559
mgpt,resource,xnli,40.3975,0.069940450861188,4,0.034970225430594,0.111290864716552,40.2862091352834,40.5087908647166
mgpt,resource,xstorycloze,56.2125,0.037749172176357,4,0.0188745860881785,0.0600673567600933,56.1524326432399,56.2725673567601
mgpt,resource,xwinograd,60.9225,0.184277869895804,4,0.0921389349479021,0.293227213097778,60.6292727869022,61.2157272130978
mgpt,semantic,SET AVG,52.2946666666667,0.034078341117686,3,0.0196751394178319,0.0846552923275194,52.2100113743392,52.3793219589942
mgpt,semantic,pawsx,48.5066666666667,0.0251661147842325,3,0.0145296631451336,0.0625160947961005,48.4441505718706,48.5691827614628
mgpt,semantic,xcopa,55.7333333333333,0.0776745346515415,3,0.0448454134902464,0.192954240777809,55.5403790925555,55.9262875741111
mgpt,semantic,xnli,40.4266666666667,0.0981495457622368,3,0.0566666666666669,0.243816988028307,40.1828496786384,40.670483654695
mgpt,semantic,xstorycloze,56.08,0.0699999999999976,3,0.0404145188432724,0.173889639829057,55.906110360171,56.2538896398291
mgpt,semantic,xwinograd,60.7266666666667,0.289885034683293,3,0.167365202808443,0.720114346755901,60.0065523199108,61.4467810134226
mgpt,typology,SET AVG,52.5773333333333,0.0221208800307172,3,0.012771496040446,0.0549513123034761,52.5223820210299,52.6322846456368
