Model,Domain,Task,Mean,Std_Dev,Count,Std_Error,Margin_of_Error,CI Lower,CI Upper
bloom7b,14,pawsx,47.99,0.3404408906109822,3,0.19655363983740654,0.8457020550204147,47.144297944979584,48.83570205502042
bloom7b,14,xcopa,57.96666666666667,0.15567059238447112,3,0.08987645841808291,0.3867071891673216,57.579959477499344,58.35337385583399
bloom7b,14,xnli,41.24,0.2666458325194644,3,0.15394804318340463,0.6623849682675748,40.57761503173243,41.902384968267576
bloom7b,14,xstorycloze,62.15333333333333,0.12662279942148738,3,0.07310570733153973,0.31454847122214413,61.83878486211118,62.467881804555475
bloom7b,14,xwinograd,73.96333333333332,0.6788470618138649,3,0.3919325338768214,1.6863495868261489,72.27698374650717,75.64968292015948
bloom7b,2,SET AVG,56.46,0.10569768209379402,3,0.061024585209571464,0.26256759814366587,56.19743240185633,56.72256759814367
bloom7b,2,pawsx,47.70333333333334,0.3666515148384593,3,0.21168635079076856,0.9108128551148561,46.792520478218485,48.614146188448196
bloom7b,2,xcopa,57.303333333333335,0.02309401076758864,3,0.013333333333335418,0.05736870306549263,57.24596463026784,57.36070203639883
bloom7b,2,xnli,41.27333333333333,0.15275252316519336,3,0.08819171036881894,0.37945830337394326,40.89387502995939,41.65279163670728
bloom7b,2,xstorycloze,61.65,0.03999999999999826,3,0.023094010767584026,0.09936550847374578,61.55063449152625,61.749365508473744
bloom7b,2,xwinograd,74.37,0.22715633383201345,3,0.13114877048604145,0.5642876153562735,73.80571238464373,74.93428761535628
bloom7b,20,SET AVG,56.61933333333334,0.17472645287229352,3,0.10087836460036713,0.4340445708367545,56.18528876249658,57.05337790417009
bloom7b,20,pawsx,47.18666666666667,0.29263173671584547,3,0.1689510119663211,0.7269375328581639,46.4597291338085,47.91360419952483
bloom7b,20,xcopa,58.07666666666666,0.03055050463303363,3,0.017638342073760877,0.07589166067477614,58.00077500599188,58.15255832734144
bloom7b,20,xnli,41.68,0.1609347693943098,3,0.09291573243177512,0.39978412979928274,41.28021587020072,42.07978412979928
bloom7b,20,xstorycloze,61.99333333333333,0.11150485789118282,3,0.06437735971942538,0.27699342254126574,61.716339910792065,62.2703267558746
bloom7b,20,xwinograd,74.16000000000001,0.4253234063627307,3,0.24556058315617116,1.0565619134755044,73.1034380865245,75.21656191347552
bloom7b,26,SET AVG,56.54266666666667,0.08490779312485076,3,0.049021537216929645,0.21092265093086948,56.3317440157358,56.75358931759754
bloom7b,26,pawsx,47.086666666666666,0.5131601439446843,3,0.2962731472438506,1.2747604657881588,45.81190620087851,48.36142713245482
bloom7b,26,xcopa,57.903333333333336,0.12342339054382935,3,0.07125852775477619,0.3066006989735461,57.59673263435979,58.20993403230688
bloom7b,26,xnli,41.68666666666667,0.20108041509140542,3,0.11609383178178462,0.49951144224175587,41.18715522442491,42.18617810890842
bloom7b,26,xstorycloze,62.14000000000001,0.10816653826392206,3,0.06244997998398536,0.2687005768609991,61.87129942313901,62.40870057686101
bloom7b,26,xwinograd,73.89666666666666,0.1858314648635584,3,0.10728984626287792,0.46163094991473264,73.43503571675193,74.3582976165814
bloom7b,3,SET AVG,56.568000000000005,0.11572380913191635,3,0.06681317235396078,0.28747387842280187,56.2805261215772,56.855473878422806
bloom7b,3,pawsx,48.04,0.29103264421710345,3,0.16802777548171327,0.7229651668773124,47.31703483312268,48.762965166877315
bloom7b,3,xcopa,57.88,0.06557438524301996,3,0.0378593889720018,0.16289580331315634,57.71710419668685,58.04289580331316
bloom7b,3,xnli,41.373333333333335,0.20231987873991197,3,0.11680943645290062,0.5025904406334705,40.870742892699866,41.875923773966804
bloom7b,3,xstorycloze,61.330000000000005,0.09165151389910865,3,0.05291502622128711,0.22767498202434766,61.10232501797566,61.55767498202435
bloom7b,3,xwinograd,74.21666666666667,0.19857828011474993,3,0.11464922347946378,0.49329579438612264,73.72337087228054,74.7099624610528
bloom7b,4,SET AVG,56.437999999999995,0.0452990066116268,3,0.02615339366124537,0.11252897063300163,56.325471029366994,56.550528970632996
bloom7b,4,pawsx,46.85666666666666,0.041633319989318636,3,0.024037008503090943,0.10342290025472477,46.753243766411934,46.96008956692139
bloom7b,4,xcopa,57.85,0.1053565375285275,3,0.06082762530298227,0.26172014806389676,57.58827985193611,58.111720148063895
bloom7b,4,xnli,41.25,0.07211102550928047,3,0.041633319989323056,0.1791337179073305,41.070866282092666,41.429133717907334
bloom7b,4,xstorycloze,61.843333333333334,0.049328828623163824,3,0.028480012484392553,0.12253960346387881,61.720793729869456,61.96587293679721
bloom7b,4,xwinograd,74.39,0.19313207915827932,3,0.11150485789118468,0.4797666812038745,73.91023331879613,74.86976668120387
bloom7b,5,SET AVG,56.522,0.15585891055695605,3,0.08998518396566038,0.3871749974414169,56.13482500255858,56.90917499744142
bloom7b,5,pawsx,47.093333333333334,0.7915385861304117,3,0.45699501577636903,1.9662908521860403,45.12704248114729,49.059624185519375
bloom7b,5,xcopa,57.953333333333326,0.18448125469361767,3,0.10651030205780009,0.458276841912668,57.495056491420655,58.411610175246
bloom7b,5,xnli,41.596666666666664,0.22368132093076937,3,0.12914247085207078,0.5556552047591495,41.041011461907516,42.15232187142581
bloom7b,5,xstorycloze,61.75666666666666,0.28448784391136317,3,0.16424913326340176,0.7067069816213364,61.04995968504532,62.463373648288
bloom7b,5,xwinograd,74.21,0.38353617821530844,3,0.22143471573656862,0.9527566841610741,73.25724331583892,75.16275668416107
bloom7b,52,SET AVG,56.452666666666666,0.10300161811026476,3,0.059468011942928396,0.25587020392863713,56.19679646273803,56.7085368705953
bloom7b,52,pawsx,47.46333333333333,0.3302019584032357,3,0.19064218957104975,0.8202671373941399,46.64306619593919,48.28360047072747
