,Model,Domain,Result Set,Task,Language,Score
190,bloom3b,random,3,xnli,en,54.94
191,bloom3b,random,3,xnli,es,49.0
192,bloom3b,random,3,xnli,fr,50.0
193,bloom3b,random,3,xnli,hi,44.62
194,bloom3b,random,3,xnli,ru,42.01
195,bloom3b,random,3,xnli,sw,34.58
196,bloom3b,random,3,xnli,th,33.45
197,bloom3b,random,3,xnli,tr,34.42
198,bloom3b,random,3,xnli,ur,39.72
199,bloom3b,random,3,xnli,vi,44.3
200,bloom3b,random,3,xnli,zh,41.57
201,bloom3b,random,3,xstorycloze,overall,59.48
202,bloom3b,random,3,xstorycloze,ar,60.29
203,bloom3b,random,3,xstorycloze,en,69.76
204,bloom3b,random,3,xstorycloze,es,67.84
205,bloom3b,random,3,xstorycloze,eu,57.31
206,bloom3b,random,3,xstorycloze,hi,60.29
207,bloom3b,random,3,xstorycloze,id,64.53
208,bloom3b,random,3,xstorycloze,my,46.589999999999996
209,bloom3b,random,3,xstorycloze,ru,52.68000000000001
210,bloom3b,random,3,xstorycloze,sw,53.410000000000004
211,bloom3b,random,3,xstorycloze,te,57.84
212,bloom3b,random,3,xstorycloze,zh,63.800000000000004
213,bloom3b,random,3,xwinograd,overall,71.03
214,bloom3b,random,3,xwinograd,en,80.08999999999999
215,bloom3b,random,3,xwinograd,fr,74.7
216,bloom3b,random,3,xwinograd,ja,56.2
217,bloom3b,random,3,xwinograd,pt,68.44
218,bloom3b,random,3,xwinograd,ru,49.84
219,bloom3b,random,3,xwinograd,zh,71.43
220,bloom3b,random,2,pawsx,overall,47.85
221,bloom3b,random,2,pawsx,de,44.7
222,bloom3b,random,2,pawsx,en,42.25
223,bloom3b,random,2,pawsx,es,41.349999999999994
224,bloom3b,random,2,pawsx,fr,52.5
225,bloom3b,random,2,pawsx,ja,52.449999999999996
226,bloom3b,random,2,pawsx,ko,54.05
227,bloom3b,random,2,pawsx,zh,47.65
228,bloom3b,random,2,xcopa,overall,57.24
229,bloom3b,random,2,xcopa,et,49.4
230,bloom3b,random,2,xcopa,ht,53.0
231,bloom3b,random,2,xcopa,id,69.39999999999999
232,bloom3b,random,2,xcopa,it,55.2
233,bloom3b,random,2,xcopa,qu,51.2
234,bloom3b,random,2,xcopa,sw,53.400000000000006
235,bloom3b,random,2,xcopa,ta,55.400000000000006
236,bloom3b,random,2,xcopa,th,52.2
237,bloom3b,random,2,xcopa,tr,55.2
238,bloom3b,random,2,xcopa,vi,70.6
239,bloom3b,random,2,xcopa,zh,64.60000000000001
240,bloom3b,random,2,xnli,overall,41.0
