Model,Domain,Task,Mean,Std_Dev,Count,Std_Error,Margin_of_Error,CI Lower,CI Upper
mgpt,12,xcopa,55.723333333333336,0.1965536398374048,3,0.11348029687032642,0.4882663091202518,55.23506702421309,56.211599642453585
mgpt,12,xnli,40.949999999999996,0.19924858845171098,3,0.1150362261782483,0.4949609326045309,40.45503906739547,41.44496093260452
mgpt,12,xstorycloze,56.29333333333333,0.24986663109213617,3,0.14426056672254975,0.6207031212273263,55.672630212106,56.91403645456066
mgpt,12,xwinograd,60.96666666666667,0.6504101270224283,3,0.37551446192005766,1.6157083247014996,59.35095834196517,62.58237499136817
mgpt,13,SET AVG,52.79466666666667,0.18243172238767424,3,0.10532700402925081,0.4531855214198318,52.34148114524684,53.247852188086505
mgpt,13,pawsx,50.13666666666668,0.6913995468130819,3,0.39917971447011813,1.7175316881900569,48.41913497847662,51.854198354856734
mgpt,13,xcopa,55.54,0.12529964086141485,3,0.0723417813807013,0.3112615631443191,55.22873843685568,55.85126156314432
mgpt,13,xnli,40.98333333333333,0.1422439219556785,3,0.0821245666316991,0.35335349081066053,40.629979842522665,41.33668682414399
mgpt,13,xstorycloze,56.376666666666665,0.11846237095944472,3,0.06839428176227672,0.2942768431347808,56.082389823531884,56.67094350980145
mgpt,13,xwinograd,60.93666666666667,0.17502380790433336,3,0.10105004260816022,0.4347832416856512,60.50188342498102,61.37144990835232
mgpt,14,SET AVG,52.82,0.22008180297334817,3,0.12706428819040075,0.5467135064566607,52.27328649354334,53.36671350645666
mgpt,14,pawsx,49.96666666666667,1.0636885509082687,3,0.6141208712008119,2.642348842967664,47.324317823699005,52.60901550963433
mgpt,14,xcopa,55.72666666666667,0.2250185177565016,3,0.1299145017993668,0.5589769858221089,55.16768968084456,56.28564365248877
mgpt,14,xnli,41.013333333333335,0.1159022576714266,3,0.06691619966628352,0.2879171691694227,40.72541616416391,41.30125050250276
mgpt,14,xstorycloze,56.346666666666664,0.050332229568468244,3,0.029059326290269184,0.1250321895922092,56.22163447707445,56.471698856258875
mgpt,14,xwinograd,61.04666666666666,0.17897858344878026,3,0.10333333333333118,0.44460744875748914,60.60205921790917,61.49127411542415
mgpt,2,SET AVG,52.49733333333334,0.15651623983898036,3,0.09036469320358334,0.38880789389999265,52.10852543943334,52.88614122723333
mgpt,2,pawsx,49.78333333333333,0.43615746392024335,3,0.251815629203417,1.0834752044264073,48.699858128906925,50.86680853775974
mgpt,2,xcopa,55.54,0.026457513110642657,3,0.015275252316517591,0.06572410607974793,55.47427589392025,55.60572410607975
mgpt,2,xnli,40.82666666666667,0.23288051299611356,3,0.13445362686732432,0.5785072646871648,40.2481594019795,41.405173931353836
mgpt,2,xstorycloze,55.82,0.07211102550928417,3,0.041633319989325186,0.17913371790733965,55.64086628209266,55.99913371790734
mgpt,2,xwinograd,60.51666666666667,0.20132891827388566,3,0.11623730516108406,0.5001287583688683,60.016537908297806,61.01679542503554
mgpt,20,SET AVG,52.5,0.1180508365069911,3,0.06815668223537182,0.2932545348817178,52.20674546511828,52.79325453488172
mgpt,20,pawsx,48.54333333333333,0.3121431295629195,3,0.18021591987884383,0.7754065196401789,47.76792681369315,49.31873985297351
mgpt,20,xcopa,55.69,0.242693221990228,3,0.14011899704655575,0.602883385154793,55.08711661484521,56.29288338515479
mgpt,20,xnli,40.98666666666667,0.09451631252505455,3,0.05456901847915104,0.23479153632789804,40.751875130338775,41.22145820299457
mgpt,20,xstorycloze,56.47333333333333,0.015275252316517784,3,0.008819171036880997,0.03794583033739047,56.43538750299594,56.51127916367072
mgpt,20,xwinograd,60.806666666666665,0.27319101986217226,3,0.15772690885761356,0.6786441149766778,60.12802255168999,61.48531078164334
mgpt,26,SET AVG,52.80466666666667,0.10231976022906608,3,0.05907434111166927,0.2541763750518336,52.550490291614835,53.058843041718504
mgpt,26,pawsx,49.68,0.3404408906109822,3,0.19655363983740654,0.8457020550204147,48.83429794497958,50.52570205502042
mgpt,26,xcopa,55.96666666666667,0.1101514109457226,3,0.06359594676113003,0.27363127394306824,55.6930353927236,56.240297940609736
mgpt,26,xnli,41.27,0.14798648586948612,3,0.08544003745317456,0.3676188103916231,40.90238118960838,41.63761881039163
mgpt,26,xstorycloze,56.120000000000005,0.14730919862656391,3,0.08504900548115472,0.3659363356097293,55.75406366439027,56.485936335609736
mgpt,26,xwinograd,60.98666666666667,0.2345918441321751,3,0.13544166435940203,0.5827584468997077,60.40390821976696,61.56942511356638
mgpt,3,SET AVG,52.57066666666666,0.13796134724383194,3,0.07965202096898981,0.3427149854651741,52.22795168120149,52.91338165213183
mgpt,3,pawsx,50.04,0.4590206967011442,3,0.2650157228040152,1.1402706231921056,48.89972937680789,51.18027062319211
mgpt,3,xcopa,55.163333333333334,0.03511884584284121,3,0.020275875100993344,0.08724004935462906,55.07609328397871,55.25057338268796
mgpt,3,xnli,40.97333333333333,0.005773502691895621,3,0.0033333333333329662,0.014342175766369336,40.95899115756696,40.987675509099695
mgpt,3,xstorycloze,55.88666666666666,0.06658328118479237,3,0.03844187531556842,0.1654020397694393,55.721264626897224,56.0520687064361
mgpt,3,xwinograd,60.79,0.2930870177950549,3,0.1692138686199596,0.7280685137565169,60.06193148624348,61.51806851375652
mgpt,4,SET AVG,52.72933333333333,0.06325609325063651,3,0.03652092246613906,0.15713684674781123,52.57219648658552,52.88647018008114
mgpt,4,pawsx,49.379999999999995,0.4613025037868325,3,0.26633312473917614,1.1459389462248162,48.23406105377518,50.52593894622481
