,Model,Domain,Result Set,Task,Score
205,bloom1_7b,semantic,3,xcopa,55.910000000000004
206,bloom1_7b,semantic,3,xnli,40.11
207,bloom1_7b,semantic,3,xstorycloze,57.38999999999999
208,bloom1_7b,semantic,3,xwinograd,67.75
209,bloom1_7b,semantic,3,SET AVG,54.727999999999994
210,bloom1_7b,semantic,1,pawsx,52.480000000000004
211,bloom1_7b,semantic,1,xcopa,55.800000000000004
212,bloom1_7b,semantic,1,xnli,39.57
213,bloom1_7b,semantic,1,xstorycloze,57.8
214,bloom1_7b,semantic,1,xwinograd,67.03
215,bloom1_7b,semantic,1,SET AVG,54.53599999999999
216,bloom1_7b,learned,2,pawsx,51.81
217,bloom1_7b,learned,2,xcopa,56.220000000000006
218,bloom1_7b,learned,2,xnli,40.08
219,bloom1_7b,learned,2,xstorycloze,57.95
220,bloom1_7b,learned,2,xwinograd,67.17999999999999
221,bloom1_7b,learned,2,SET AVG,54.648
222,bloom1_7b,learned,3,pawsx,51.970000000000006
223,bloom1_7b,learned,3,xcopa,55.93
224,bloom1_7b,learned,3,xnli,40.08
225,bloom1_7b,learned,3,xstorycloze,57.82000000000001
226,bloom1_7b,learned,3,xwinograd,68.02
227,bloom1_7b,learned,3,SET AVG,54.763999999999996
228,bloom1_7b,learned,1,pawsx,51.44
229,bloom1_7b,learned,1,xcopa,56.11000000000001
230,bloom1_7b,learned,1,xnli,39.910000000000004
231,bloom1_7b,learned,1,xstorycloze,58.17
232,bloom1_7b,learned,1,xwinograd,67.27
233,bloom1_7b,learned,1,SET AVG,54.58
234,bloom1_7b,geo,3,pawsx,50.760000000000005
235,bloom1_7b,geo,3,xcopa,56.00000000000001
236,bloom1_7b,geo,3,xnli,40.129999999999995
237,bloom1_7b,geo,3,xstorycloze,58.24
238,bloom1_7b,geo,3,xwinograd,67.75
239,bloom1_7b,geo,3,SET AVG,54.576
240,bloom1_7b,geo,1,pawsx,50.99
241,bloom1_7b,geo,1,xcopa,56.24
242,bloom1_7b,geo,1,xnli,39.839999999999996
243,bloom1_7b,geo,1,xstorycloze,58.26
244,bloom1_7b,geo,1,xwinograd,67.14
245,bloom1_7b,geo,1,SET AVG,54.49399999999999
246,bloom1_7b,geo,2,pawsx,50.849999999999994
247,bloom1_7b,geo,2,xcopa,55.96
248,bloom1_7b,geo,2,xnli,40.18
249,bloom1_7b,geo,2,xstorycloze,58.220000000000006
250,bloom1_7b,geo,2,xwinograd,68.17
251,bloom1_7b,geo,2,SET AVG,54.676
252,mt5,geo,1,pawsx,52.290000000000006
253,mt5,geo,1,xcopa,53.13
254,mt5,geo,1,xnli,36.74
255,mt5,geo,1,xstorycloze,52.849999999999994
256,mt5,geo,1,xwinograd,50.19
257,mt5,geo,1,SET AVG,49.040000000000006
258,mt5,geo,2,pawsx,51.690000000000005
259,mt5,geo,2,xcopa,53.25
260,mt5,geo,2,xnli,37.01
261,mt5,geo,2,xstorycloze,52.129999999999995
262,mt5,geo,2,xwinograd,49.9
263,mt5,geo,2,SET AVG,48.796
264,mt5,geo,3,pawsx,52.349999999999994
265,mt5,geo,3,xcopa,53.31
266,mt5,geo,3,xnli,36.97
267,mt5,geo,3,xstorycloze,52.839999999999996
268,mt5,geo,3,xwinograd,50.51
269,mt5,geo,3,SET AVG,49.196
270,mt5,all,3,pawsx,50.41
271,mt5,all,3,xcopa,54.11
272,mt5,all,3,xnli,36.41
273,mt5,all,3,xstorycloze,52.300000000000004
274,mt5,all,3,xwinograd,50.06
275,mt5,all,3,SET AVG,48.658
276,mt5,all,2,pawsx,50.59
277,mt5,all,2,xcopa,53.38
278,mt5,all,2,xnli,36.26
279,mt5,all,2,xstorycloze,52.23
280,mt5,all,2,xwinograd,50.71
281,mt5,all,2,SET AVG,48.634
282,mt5,all,1,pawsx,51.29
283,mt5,all,1,xcopa,53.44
284,mt5,all,1,xnli,36.8
285,mt5,all,1,xstorycloze,52.400000000000006
286,mt5,all,1,xwinograd,50.39
287,mt5,all,1,SET AVG,48.864
288,mt5,semantic,1,pawsx,51.92
289,mt5,semantic,1,xcopa,53.22
290,mt5,semantic,1,xnli,36.15
291,mt5,semantic,1,xstorycloze,52.459999999999994
292,mt5,semantic,1,xwinograd,51.4
293,mt5,semantic,1,SET AVG,49.03
294,mt5,semantic,3,pawsx,51.4
295,mt5,semantic,3,xcopa,53.400000000000006
296,mt5,semantic,3,xnli,36.59
297,mt5,semantic,3,xstorycloze,52.459999999999994
298,mt5,semantic,3,xwinograd,50.57000000000001
299,mt5,semantic,3,SET AVG,48.884
300,mt5,semantic,2,pawsx,51.559999999999995
301,mt5,semantic,2,xcopa,53.44
302,mt5,semantic,2,xnli,36.480000000000004
303,mt5,semantic,2,xstorycloze,52.23
304,mt5,semantic,2,xwinograd,49.88
305,mt5,semantic,2,SET AVG,48.718
306,mt5,typo,2,pawsx,51.33
307,mt5,typo,2,xcopa,53.449999999999996
308,mt5,typo,2,xnli,36.78
309,mt5,typo,2,xstorycloze,52.5
310,mt5,typo,2,xwinograd,49.99
311,mt5,typo,2,SET AVG,48.81
312,mt5,typo,1,pawsx,51.31
313,mt5,typo,1,xcopa,53.02
314,mt5,typo,1,xnli,36.480000000000004
315,mt5,typo,1,xstorycloze,52.739999999999995
316,mt5,typo,1,xwinograd,50.480000000000004
317,mt5,typo,1,SET AVG,48.806000000000004
318,mt5,typo,3,pawsx,51.559999999999995
319,mt5,typo,3,xcopa,53.18000000000001
