,Model,Domain,Result Set,Task,Score
177,bloom1_7b,random,3,xnli,39.879999999999995
178,bloom1_7b,random,3,xstorycloze,57.91
179,bloom1_7b,random,3,xwinograd,66.97999999999999
180,bloom1_7b,random,3,SET AVG,54.29
181,bloom1_7b,random,3,VI AVG,56.01
182,bloom1_7b,random,1,pawsx,50.83
183,bloom1_7b,random,1,xcopa,55.85
184,bloom1_7b,random,1,xnli,40.089999999999996
185,bloom1_7b,random,1,xstorycloze,58.160000000000004
186,bloom1_7b,random,1,xwinograd,67.45
187,bloom1_7b,random,1,SET AVG,54.476
188,bloom1_7b,random,1,VI AVG,56.13
189,bloom1_7b,random,2,pawsx,51.25999999999999
190,bloom1_7b,random,2,xcopa,55.71
191,bloom1_7b,random,2,xnli,39.82
192,bloom1_7b,random,2,xstorycloze,57.940000000000005
193,bloom1_7b,random,2,xwinograd,66.94
194,bloom1_7b,random,2,SET AVG,54.33399999999999
195,bloom1_7b,random,2,VI AVG,55.57000000000001
196,bloom1_7b,vi,2,pawsx,51.239999999999995
197,bloom1_7b,vi,2,xcopa,56.25
198,bloom1_7b,vi,2,xnli,39.72
199,bloom1_7b,vi,2,xstorycloze,58.34
200,bloom1_7b,vi,2,xwinograd,68.33
201,bloom1_7b,vi,2,SET AVG,54.775999999999996
202,bloom1_7b,vi,2,VI AVG,55.44500000000001
203,bloom1_7b,vi,3,pawsx,51.72
204,bloom1_7b,vi,3,xcopa,56.53
205,bloom1_7b,vi,3,xnli,39.800000000000004
206,bloom1_7b,vi,3,xstorycloze,58.269999999999996
207,bloom1_7b,vi,3,xwinograd,68.22
208,bloom1_7b,vi,3,SET AVG,54.907999999999994
209,bloom1_7b,vi,3,VI AVG,55.785
210,bloom1_7b,vi,1,pawsx,51.339999999999996
211,bloom1_7b,vi,1,xcopa,56.36
212,bloom1_7b,vi,1,xnli,39.800000000000004
213,bloom1_7b,vi,1,xstorycloze,58.34
214,bloom1_7b,vi,1,xwinograd,68.55
215,bloom1_7b,vi,1,SET AVG,54.878
216,bloom1_7b,vi,1,VI AVG,55.22500000000001
217,bloom1_7b,semantic,1,pawsx,51.92
218,bloom1_7b,semantic,1,xcopa,55.910000000000004
219,bloom1_7b,semantic,1,xnli,40.089999999999996
220,bloom1_7b,semantic,1,xstorycloze,57.92
221,bloom1_7b,semantic,1,xwinograd,67.30000000000001
222,bloom1_7b,semantic,1,SET AVG,54.62800000000001
223,bloom1_7b,semantic,1,VI AVG,56.25
224,bloom1_7b,semantic,3,pawsx,51.849999999999994
225,bloom1_7b,semantic,3,xcopa,55.65
226,bloom1_7b,semantic,3,xnli,39.83
227,bloom1_7b,semantic,3,xstorycloze,57.87
228,bloom1_7b,semantic,3,xwinograd,67.32000000000001
229,bloom1_7b,semantic,3,SET AVG,54.504
230,bloom1_7b,semantic,3,VI AVG,56.09
231,bloom1_7b,semantic,2,pawsx,52.129999999999995
232,bloom1_7b,semantic,2,xcopa,55.800000000000004
233,bloom1_7b,semantic,2,xnli,39.97
234,bloom1_7b,semantic,2,xstorycloze,58.07
235,bloom1_7b,semantic,2,xwinograd,67.34
236,bloom1_7b,semantic,2,SET AVG,54.662
237,bloom1_7b,semantic,2,VI AVG,55.81
238,bloom1_7b,family,2,pawsx,52.580000000000005
239,bloom1_7b,family,2,xcopa,56.15
240,bloom1_7b,family,2,xnli,39.65
241,bloom1_7b,family,2,xstorycloze,57.550000000000004
242,bloom1_7b,family,2,xwinograd,68.26
243,bloom1_7b,family,2,SET AVG,54.838
244,bloom1_7b,family,2,VI AVG,56.510000000000005
245,bloom1_7b,family,3,pawsx,52.190000000000005
246,bloom1_7b,family,3,xcopa,55.779999999999994
247,bloom1_7b,family,3,xnli,39.660000000000004
248,bloom1_7b,family,3,xstorycloze,57.56
249,bloom1_7b,family,3,xwinograd,67.75
250,bloom1_7b,family,3,SET AVG,54.588
251,bloom1_7b,family,3,VI AVG,56.91
252,bloom1_7b,family,1,pawsx,52.66
253,bloom1_7b,family,1,xcopa,56.02
254,bloom1_7b,family,1,xnli,39.98
255,bloom1_7b,family,1,xstorycloze,57.58
256,bloom1_7b,family,1,xwinograd,67.78999999999999
257,bloom1_7b,family,1,SET AVG,54.806
258,bloom1_7b,family,1,VI AVG,56.45
259,bloom1_7b,learned,2,pawsx,51.11
260,bloom1_7b,learned,2,xcopa,55.779999999999994
261,bloom1_7b,learned,2,xnli,40.07
262,bloom1_7b,learned,2,xstorycloze,58.07
263,bloom1_7b,learned,2,xwinograd,67.88
264,bloom1_7b,learned,2,SET AVG,54.581999999999994
265,bloom1_7b,learned,2,VI AVG,56.27
266,bloom1_7b,learned,3,pawsx,51.11
267,bloom1_7b,learned,3,xcopa,55.85
268,bloom1_7b,learned,3,xnli,40.12
269,bloom1_7b,learned,3,xstorycloze,57.940000000000005
270,bloom1_7b,learned,3,xwinograd,67.67999999999999
271,bloom1_7b,learned,3,SET AVG,54.54
272,bloom1_7b,learned,3,VI AVG,56.31
273,bloom1_7b,learned,1,pawsx,51.18000000000001
274,bloom1_7b,learned,1,xcopa,55.800000000000004
275,bloom1_7b,learned,1,xnli,40.17
276,bloom1_7b,learned,1,xstorycloze,57.879999999999995
277,bloom1_7b,learned,1,xwinograd,67.09
278,bloom1_7b,learned,1,SET AVG,54.424
279,bloom1_7b,learned,1,VI AVG,56.25
280,bloom1_7b,typology,1,pawsx,50.23
281,bloom1_7b,typology,1,xcopa,56.220000000000006
282,bloom1_7b,typology,1,xnli,40.01
283,bloom1_7b,typology,1,xstorycloze,58.040000000000006
284,bloom1_7b,typology,1,xwinograd,67.54
285,bloom1_7b,typology,1,SET AVG,54.408
286,bloom1_7b,typology,1,VI AVG,56.17
287,bloom1_7b,typology,2,pawsx,50.529999999999994
288,bloom1_7b,typology,2,xcopa,56.04
289,bloom1_7b,typology,2,xnli,40.07
290,bloom1_7b,typology,2,xstorycloze,57.940000000000005
291,bloom1_7b,typology,2,xwinograd,67.47999999999999
292,bloom1_7b,typology,2,SET AVG,54.41199999999999
293,bloom1_7b,typology,2,VI AVG,55.790000000000006
294,bloom1_7b,typology,3,pawsx,50.3
295,bloom1_7b,typology,3,xcopa,56.00000000000001
296,bloom1_7b,typology,3,xnli,39.95
297,bloom1_7b,typology,3,xstorycloze,58.040000000000006
298,bloom1_7b,typology,3,xwinograd,67.81
299,bloom1_7b,typology,3,SET AVG,54.42
300,bloom1_7b,typology,3,VI AVG,55.690000000000005
301,bloom1_7b,resource,4,pawsx,51.73
302,bloom1_7b,resource,4,xcopa,56.489999999999995
303,bloom1_7b,resource,4,xnli,39.67
304,bloom1_7b,resource,4,xstorycloze,57.879999999999995
305,bloom1_7b,resource,4,xwinograd,67.23
306,bloom1_7b,resource,4,SET AVG,54.6
307,bloom1_7b,resource,4,VI AVG,56.33
308,bloom1_7b,resource,1,pawsx,52.019999999999996
309,bloom1_7b,resource,1,xcopa,56.330000000000005
310,bloom1_7b,resource,1,xnli,39.76
311,bloom1_7b,resource,1,xstorycloze,57.98
312,bloom1_7b,resource,1,xwinograd,66.96
313,bloom1_7b,resource,1,SET AVG,54.60999999999999
314,bloom1_7b,resource,1,VI AVG,55.885000000000005
315,bloom1_7b,resource,2,pawsx,51.519999999999996
316,bloom1_7b,resource,2,xcopa,56.24
317,bloom1_7b,resource,2,xnli,39.76
318,bloom1_7b,resource,2,xstorycloze,58.07
319,bloom1_7b,resource,2,xwinograd,67.09
320,bloom1_7b,resource,2,SET AVG,54.53599999999999
321,bloom1_7b,resource,2,VI AVG,56.09
322,bloom1_7b,resource,3,pawsx,51.459999999999994
323,bloom1_7b,resource,3,xcopa,56.39999999999999
324,bloom1_7b,resource,3,xnli,39.81
325,bloom1_7b,resource,3,xstorycloze,57.99999999999999
326,bloom1_7b,resource,3,xwinograd,67.43
327,bloom1_7b,resource,3,SET AVG,54.620000000000005
328,bloom1_7b,resource,3,VI AVG,55.730000000000004
329,bloom1_7b,geo,3,pawsx,50.660000000000004
330,bloom1_7b,geo,3,xcopa,55.95
331,bloom1_7b,geo,3,xnli,39.73
332,bloom1_7b,geo,3,xstorycloze,58.18
333,bloom1_7b,geo,3,xwinograd,68.2
334,bloom1_7b,geo,3,SET AVG,54.544000000000004
335,bloom1_7b,geo,3,VI AVG,54.985
336,bloom1_7b,geo,2,pawsx,49.88
337,bloom1_7b,geo,2,xcopa,56.220000000000006
338,bloom1_7b,geo,2,xnli,39.67
